"Name","Id","CPU","StartTime","Threads","Path"
"Registry","124",,,"4",
"RstMwService","3960",,,"3",
"RuntimeBroker","1640","2.125","7/23/2025 6:27:44 AM","2","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","1992","1.125","7/23/2025 6:27:46 AM","14","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","4852","0.3125","7/23/2025 6:27:52 AM","3","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","5940","0.125","7/23/2025 7:42:33 AM","4","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","6604","1.5625","7/23/2025 6:27:45 AM","13","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","7092","0.796875","7/23/2025 6:27:46 AM","3","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","8136","0.046875","7/23/2025 6:59:17 AM","1","C:\Windows\System32\RuntimeBroker.exe"
"SearchApp","10780","8.421875","7/23/2025 6:27:45 AM","36","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe"
"SearchIndexer","4888",,,"15",
"SECOMN64","3980",,,"4",
"SecurityHealthService","9148",,,"25",
"SecurityHealthSystray","7924","0.0625","7/23/2025 6:27:56 AM","5","C:\Windows\System32\SecurityHealthSystray.exe"
"services","752",,,"7",
"ShellExperienceHost","8804","0.4375","7/23/2025 7:42:33 AM","16","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"sihost","2008","2.6875","7/23/2025 6:27:43 AM","10","C:\Windows\system32\sihost.exe"
"SkypeApp","7712","4.40625","7/23/2025 6:27:52 AM","40","C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeApp.exe"
"SkypeBackgroundHost","6500","0.109375","7/23/2025 6:27:46 AM","2","C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe"
"SkypeBridge","6636","4.484375","7/23/2025 6:27:54 AM","12","C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeBridge\SkypeBridge.exe"
"smartscreen","10820","0.015625","7/23/2025 8:16:29 PM","4","C:\Windows\System32\smartscreen.exe"
"smss","432",,,"2",
"StartMenuExperienceHost","8684","1.453125","7/23/2025 6:27:44 AM","8","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"
"svchost","504",,,"13",
"svchost","696",,,"5",
"svchost","748",,,"4",
"svchost","968",,,"7",
"svchost","972",,,"20",
"svchost","992",,,"4",
"svchost","1172",,,"6",
"svchost","1180",,,"2",
"svchost","1204",,,"7",
"svchost","1296",,,"6",
"svchost","1372",,,"2",
"svchost","1496",,,"5",
"svchost","1616",,,"9",
"svchost","1696",,,"6",
"svchost","1724",,,"3",
"svchost","1736",,,"3",
"svchost","1744",,,"12",
"svchost","1760",,,"5",
"svchost","1772",,,"4",
"svchost","1952",,,"2",
"svchost","2056",,,"4",
"svchost","2064",,,"5",
"svchost","2132",,,"11",
"svchost","2244",,,"9",
"svchost","2268",,,"13",
"svchost","2380",,,"6",
"svchost","2388",,,"6",
"svchost","2672",,,"12",
"svchost","2684",,,"2",
"svchost","2688",,,"12",
"svchost","2852",,,"5",
"svchost","2932",,,"9",
"svchost","2940",,,"2",
"svchost","3316",,,"3",
"svchost","3336",,,"3",
